,number,state,value,datetime_start,datetime_complete,params,params,system_attrs
,,,,,,learning_rate,weight_decay,_number
33,33,TrialState.COMPLETE,0.6143251955509186,2019-07-17 19:09:07.151675,2019-07-17 19:10:28.777245,2.4170226585105548e-06,1.2534100251902122e-05,33
34,34,TrialState.COMPLETE,0.4386276751756668,2019-07-17 19:10:28.780416,2019-07-17 19:11:49.899447,5.654823223094262e-06,6.1354912890156295e-06,34
35,35,TrialState.COMPLETE,0.40582871437072754,2019-07-17 19:11:49.902745,2019-07-17 19:13:11.052964,0.0006210860909041685,2.897437879179041e-07,35
36,36,TrialState.COMPLETE,0.4889889061450958,2019-07-17 19:13:11.056341,2019-07-17 19:14:32.611605,2.5850154546497038e-05,0.000154389775634608,36
37,37,TrialState.COMPLETE,0.4389716386795044,2019-07-17 19:14:32.615117,2019-07-17 19:15:53.905370,5.228892480889038e-05,0.0006657350405774166,37
38,38,TrialState.COMPLETE,0.3940054923295975,2019-07-17 19:15:53.908903,2019-07-17 19:17:15.221587,0.00013654714652521293,2.2218674693296092e-06,38
39,39,TrialState.COMPLETE,0.5420553088188171,2019-07-17 19:17:15.225211,2019-07-17 19:18:36.771137,1.6884074241382712e-06,1.491061978076307e-05,39
40,40,TrialState.COMPLETE,0.39275646209716797,2019-07-17 19:18:36.774870,2019-07-17 19:19:57.370049,0.00029995329978537593,3.213401906165195e-05,40
41,41,TrialState.COMPLETE,0.39918991923332214,2019-07-17 19:19:57.373811,2019-07-17 19:21:18.398585,8.076523005917983e-05,5.9859702071697894e-06,41
42,42,TrialState.COMPLETE,0.4370192885398865,2019-07-17 19:21:18.402558,2019-07-17 19:22:40.021511,2.8846869587147804e-05,9.432904195515803e-07,42
43,43,TrialState.COMPLETE,0.500939816236496,2019-07-17 19:22:40.025435,2019-07-17 19:24:01.558271,8.977466797691962e-06,0.00011998007164423144,43
44,44,TrialState.COMPLETE,0.4533105343580246,2019-07-17 19:24:01.562403,2019-07-17 19:25:22.653625,1.9306789869265237e-05,5.245601609031598e-05,44
45,45,TrialState.COMPLETE,0.44338344037532806,2019-07-17 19:25:22.657792,2019-07-17 19:26:43.699007,0.0006465141489501445,3.889655480895504e-07,45
46,46,TrialState.COMPLETE,0.4347991645336151,2019-07-17 19:26:43.703180,2019-07-17 19:28:05.001464,0.0002465498856292231,3.175225744735963e-06,46
47,47,TrialState.COMPLETE,0.5239288508892059,2019-07-17 19:28:05.005721,2019-07-17 19:29:26.436665,4.463705015984771e-06,0.00026463863088195045,47
48,48,TrialState.COMPLETE,0.4028068333864212,2019-07-17 19:29:26.440979,2019-07-17 19:30:48.037417,0.00013536959055535634,1.5522334014269905e-05,48
49,49,TrialState.COMPLETE,0.4088003486394882,2019-07-17 19:30:48.041866,2019-07-17 19:32:10.433732,7.187759574521576e-05,9.302127562793436e-06,49
50,50,TrialState.COMPLETE,0.41816195845603943,2019-07-17 19:32:10.438309,2019-07-17 19:33:31.581888,1.1530477751424184e-05,0.00018095291758398895,50
51,51,TrialState.COMPLETE,0.4525419622659683,2019-07-17 19:33:31.586475,2019-07-17 19:34:53.116450,4.622205104601409e-05,8.557255528234448e-05,51
52,52,TrialState.COMPLETE,0.42161907255649567,2019-07-17 19:34:53.121151,2019-07-17 19:36:14.665431,2.3751843218282524e-05,0.0005337706143512916,52
53,53,TrialState.COMPLETE,0.46232788264751434,2019-07-17 19:36:14.670319,2019-07-17 19:37:35.910524,1.550658296185021e-05,2.393293047277278e-05,53
54,54,TrialState.COMPLETE,0.3774471580982208,2019-07-17 19:37:35.915443,2019-07-17 19:38:56.927329,0.00042984087258826403,4.1085462027845775e-05,54
55,55,TrialState.COMPLETE,0.4275543689727783,2019-07-17 19:38:56.932296,2019-07-17 19:40:18.629515,0.00022228088423205736,1.31104582971432e-06,55
56,56,TrialState.COMPLETE,0.5282483100891113,2019-07-17 19:40:18.634673,2019-07-17 19:41:40.026830,3.1563007066224197e-06,4.027854876646247e-06,56
57,57,TrialState.COMPLETE,0.4513702988624573,2019-07-17 19:41:40.032046,2019-07-17 19:43:01.358212,7.408778768213579e-06,0.0003686098260386632,57
58,58,TrialState.COMPLETE,0.48984649777412415,2019-07-17 19:43:01.363419,2019-07-17 19:44:22.996665,3.438154180256822e-05,2.583644938881491e-06,58
59,59,TrialState.COMPLETE,0.43062636256217957,2019-07-17 19:44:23.002171,2019-07-17 19:45:44.442820,1.3875789674868735e-05,7.287859841451701e-06,59
60,60,TrialState.COMPLETE,0.3653201311826706,2019-07-17 19:45:44.448199,2019-07-17 19:47:06.159204,0.00010422064937272153,1.662925860318213e-05,60
61,61,TrialState.COMPLETE,0.4079182595014572,2019-07-17 19:47:06.164847,2019-07-17 19:48:27.232929,0.0001511049481413141,2.915919422754373e-05,61
62,62,TrialState.COMPLETE,0.4025117754936218,2019-07-17 19:48:27.238558,2019-07-17 19:49:48.906558,4.170229575220519e-05,5.077719280949842e-05,62
63,63,TrialState.COMPLETE,0.43217386305332184,2019-07-17 19:49:48.912291,2019-07-17 19:51:09.948829,5.538748519606929e-05,1.1149769944130393e-07,63
64,64,TrialState.COMPLETE,0.4802595376968384,2019-07-17 19:51:09.954659,2019-07-17 19:52:30.887093,1.0514655801081533e-05,0.0008861540460696528,64
65,65,TrialState.COMPLETE,0.42420558631420135,2019-07-17 19:52:30.892940,2019-07-17 19:53:52.030403,0.00016565476440272062,1.5131102259972243e-06,65
66,66,TrialState.COMPLETE,0.40382207930088043,2019-07-17 19:53:52.036283,2019-07-17 19:55:13.632363,0.0007130146347490037,5.990551734144135e-07,66
67,67,TrialState.COMPLETE,0.41501809656620026,2019-07-17 19:55:13.638397,2019-07-17 19:56:35.246305,9.124051048671591e-05,1.155682389928714e-05,67
68,68,TrialState.COMPLETE,0.40619921684265137,2019-07-17 19:56:35.252394,2019-07-17 19:57:56.604685,0.00011959660324620453,5.2821036103880495e-06,68
69,69,TrialState.COMPLETE,0.3923592120409012,2019-07-17 19:57:56.610889,2019-07-17 19:59:18.192018,0.00045330259357392844,3.227900168086099e-06,69
70,70,TrialState.COMPLETE,0.5166858732700348,2019-07-17 19:59:18.198308,2019-07-17 20:00:39.765185,1.9645764719044316e-05,3.360456940362557e-07,70
71,71,TrialState.COMPLETE,0.4210073947906494,2019-07-17 20:00:39.771501,2019-07-17 20:02:01.762614,6.342801547446916e-05,0.00010414957466406,71
72,72,TrialState.COMPLETE,0.4017038345336914,2019-07-17 20:02:01.769124,2019-07-17 20:03:22.520707,3.13574383686448e-05,7.213511171190065e-05,72
73,73,TrialState.COMPLETE,0.3981045037508011,2019-07-17 20:03:22.527215,2019-07-17 20:04:43.875318,0.00024277298220726524,4.3513929874756594e-06,73
74,74,TrialState.COMPLETE,0.38821783661842346,2019-07-17 20:04:43.881948,2019-07-17 20:06:05.192313,0.0001914488688747391,1.188198914235629e-06,74
75,75,TrialState.COMPLETE,0.3729916512966156,2019-07-17 20:06:05.198978,2019-07-17 20:07:26.613209,0.0007716356952506914,1.8140426925987075e-05,75
76,76,TrialState.COMPLETE,0.5002476125955582,2019-07-17 20:07:26.619939,2019-07-17 20:08:47.710139,0.0002904834556794534,7.767880893491379e-06,76
77,77,TrialState.COMPLETE,0.43701693415641785,2019-07-17 20:08:47.717017,2019-07-17 20:10:09.120352,7.607615229261966e-05,2.2009791109612629e-07,77
78,78,TrialState.COMPLETE,0.43497054278850555,2019-07-17 20:10:09.127235,2019-07-17 20:11:30.876946,2.714357557720124e-05,6.57793118408703e-07,78
79,79,TrialState.COMPLETE,0.4486517161130905,2019-07-17 20:11:30.884169,2019-07-17 20:12:51.917066,0.00038900866046474115,1.1261416917760987e-05,79
80,80,TrialState.COMPLETE,0.5149887204170227,2019-07-17 20:12:51.924401,2019-07-17 20:14:12.638006,5.57058321055371e-05,1.9396804640585953e-06,80
81,81,TrialState.COMPLETE,0.4419286251068115,2019-07-17 20:14:12.645225,2019-07-17 20:15:33.917202,0.0005643682163648306,8.366913577261832e-07,81
82,82,TrialState.COMPLETE,0.4105013757944107,2019-07-17 20:15:33.924402,2019-07-17 20:16:55.041269,8.826381172924912e-05,0.00020864533282389646,82
83,83,TrialState.COMPLETE,0.4384363293647766,2019-07-17 20:16:55.048717,2019-07-17 20:18:16.192099,3.81770133287426e-05,2.4335403013463947e-05,83
84,84,TrialState.COMPLETE,0.4610796272754669,2019-07-17 20:18:16.199514,2019-07-17 20:19:37.344306,2.2611945749054253e-05,4.158334953264975e-05,84
85,85,TrialState.COMPLETE,0.42718958854675293,2019-07-17 20:19:37.351841,2019-07-17 20:20:58.676768,0.000118929081359722,4.865572717234564e-07,85
86,86,TrialState.COMPLETE,0.450935497879982,2019-07-17 20:20:58.684419,2019-07-17 20:22:19.923716,8.77369756397226e-06,6.613803750824692e-06,86
87,87,TrialState.COMPLETE,0.4451741874217987,2019-07-17 20:22:19.931691,2019-07-17 20:23:41.293120,4.958130478638981e-05,2.427985345047096e-06,87
88,88,TrialState.COMPLETE,0.5014976859092712,2019-07-17 20:23:41.300959,2019-07-17 20:25:02.009736,1.5070537059631648e-05,2.723525956662404e-05,88
89,89,TrialState.COMPLETE,0.5111772418022156,2019-07-17 20:25:02.017629,2019-07-17 20:26:23.847292,5.276800313012787e-06,0.00013955444740538993,89
90,90,TrialState.COMPLETE,0.40687917172908783,2019-07-17 20:26:23.855655,2019-07-17 20:27:45.325193,1.7669478094208943e-05,1.4004767884143432e-05,90
91,91,TrialState.COMPLETE,0.4762069582939148,2019-07-17 20:27:45.333265,2019-07-17 20:29:06.114626,7.500490130483591e-06,6.291660599356032e-05,91
92,92,TrialState.COMPLETE,0.5341388881206512,2019-07-17 20:29:06.122729,2019-07-17 20:30:27.511618,1.3506977192767684e-06,0.0003947405362611829,92
93,93,TrialState.COMPLETE,0.4579346776008606,2019-07-17 20:30:27.519835,2019-07-17 20:31:49.208806,0.00021316107774532012,1.9355472104943694e-05,93
94,94,TrialState.COMPLETE,0.4590235948562622,2019-07-17 20:31:49.217247,2019-07-17 20:33:10.486638,0.000150207191732991,4.13401029301993e-06,94
95,95,TrialState.COMPLETE,0.519095242023468,2019-07-17 20:33:10.494954,2019-07-17 20:34:31.926753,3.004086671160734e-06,4.459640562503456e-05,95
96,96,TrialState.COMPLETE,0.4240976721048355,2019-07-17 20:34:31.935304,2019-07-17 20:35:52.819053,0.0005254150757352099,9.427392805858886e-06,96
97,97,TrialState.COMPLETE,0.44915710389614105,2019-07-17 20:35:52.827603,2019-07-17 20:37:14.249998,0.0008538740483296898,2.8168260968262405e-06,97
98,98,TrialState.COMPLETE,0.4412394165992737,2019-07-17 20:37:14.258738,2019-07-17 20:38:35.354632,3.884205830498245e-05,3.451373469015826e-05,98
99,99,TrialState.COMPLETE,0.39914900064468384,2019-07-17 20:38:35.363430,2019-07-17 20:39:56.801090,1.245926721235884e-05,0.00031778386778185926,99
100,100,TrialState.COMPLETE,0.4910472631454468,2019-07-17 20:39:56.809854,2019-07-17 20:41:18.233881,0.00027264740857981895,9.50788083008853e-05,100
101,101,TrialState.COMPLETE,0.39664191007614136,2019-07-17 20:41:18.242859,2019-07-17 20:42:39.664159,0.0003642552220815362,0.00011801531848544817,101
102,102,TrialState.COMPLETE,0.39223042130470276,2019-07-17 20:42:39.673161,2019-07-17 20:44:00.895039,0.00010158762344603169,0.00017297036718832778,102
103,103,TrialState.COMPLETE,0.4591294974088669,2019-07-17 20:44:00.904266,2019-07-17 20:45:22.267469,3.149500624749793e-05,5.259982389473056e-06,103
104,104,TrialState.COMPLETE,0.45905910432338715,2019-07-17 20:45:22.276721,2019-07-17 20:46:43.689781,0.0001689837079812828,1.826886001538656e-07,104
105,105,TrialState.COMPLETE,0.42490603029727936,2019-07-17 20:46:43.699562,2019-07-17 20:48:04.765806,6.505338958065103e-05,1.885748141454155e-06,105
106,106,TrialState.COMPLETE,0.47244730591773987,2019-07-17 20:48:04.775101,2019-07-17 20:49:26.008742,8.205300795658397e-05,1.2002355909245355e-06,106
107,107,TrialState.COMPLETE,0.41134145855903625,2019-07-17 20:49:26.018135,2019-07-17 20:50:46.594258,0.00013010686181195286,3.7801058936923585e-06,107
108,108,TrialState.COMPLETE,0.4823797345161438,2019-07-17 20:50:46.603811,2019-07-17 20:52:07.867055,4.405273231716528e-05,1.387010756964574e-05,108
