,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,system_attrs
,,,,,,lambda1_dim1,lambda1_dim2,lambda2_dim1,lambda2_dim2,learning_rate,_number
0,0,TrialState.COMPLETE,0.4145422428846359,2019-08-13 18:04:54.733247,2019-08-13 18:06:27.682397,7.400234369709308e-05,1.9792713300234686e-06,0.05,0.9000000000000001,0.0005055553171738111,0
1,1,TrialState.COMPLETE,0.41414448618888855,2019-08-13 18:06:27.682937,2019-08-13 18:07:57.741521,2.8260014742010954e-05,1.3648387429046284e-06,0.7500000000000001,0.9500000000000001,0.00022633118326772445,1
2,2,TrialState.COMPLETE,0.5183541178703308,2019-08-13 18:07:57.742345,2019-08-13 18:09:28.283146,0.0008151453730255065,0.0003312371008154147,0.25,0.2,1.8392407180213774e-05,2
3,3,TrialState.COMPLETE,0.6801139712333679,2019-08-13 18:09:28.283847,2019-08-13 18:10:59.330529,9.87350291237906e-06,2.1737168647425156e-05,0.05,0.9500000000000001,2.8183912843420985e-06,3
4,4,TrialState.COMPLETE,0.572677731513977,2019-08-13 18:10:59.331372,2019-08-13 18:12:29.732457,0.00014444203420337117,0.00016162617630498358,1.0,0.45,2.747379831981448e-06,4
5,5,TrialState.COMPLETE,0.4662289172410965,2019-08-13 18:12:29.733444,2019-08-13 18:13:59.344818,0.0008829814255654748,3.773395400809266e-05,0.25,0.7000000000000001,3.3011493627208985e-06,5
6,6,TrialState.COMPLETE,0.4940897226333618,2019-08-13 18:13:59.345991,2019-08-13 18:15:25.855130,0.00021494864442628758,0.00017373537519976823,1.0,0.3,1.8387346523547445e-05,6
7,7,TrialState.COMPLETE,0.4366430640220642,2019-08-13 18:15:25.856446,2019-08-13 18:16:49.539498,0.009497600884857392,1.0139813511827427e-05,0.05,0.45,0.0008881695814261837,7
8,8,TrialState.COMPLETE,0.40862128138542175,2019-08-13 18:16:49.540972,2019-08-13 18:18:14.855549,0.0002677154230009228,3.313992109039811e-06,0.45,0.3,0.00014839001533853652,8
9,9,TrialState.COMPLETE,0.40268783271312714,2019-08-13 18:18:14.857190,2019-08-13 18:19:41.174166,0.00554309167738016,1.6074133288593201e-06,0.25,0.7500000000000001,0.000606711626814219,9
10,10,TrialState.COMPLETE,0.39200015366077423,2019-08-13 18:19:41.175865,2019-08-13 18:21:12.087404,1.4446913983253488e-06,0.0060606089163148845,0.6500000000000001,0.7500000000000001,6.749953522978307e-05,10
11,11,TrialState.COMPLETE,0.4222956597805023,2019-08-13 18:21:12.089325,2019-08-13 18:22:43.268019,1.1673533233226675e-06,0.006587006839939923,0.8,0.05,6.669449786973957e-05,11
12,12,TrialState.COMPLETE,0.4880370795726776,2019-08-13 18:22:43.270062,2019-08-13 18:24:13.645917,1.022176414385794e-06,0.008679341824970847,0.7000000000000001,0.7000000000000001,8.456152642819213e-06,12
